channelTitle,videoId,videoTitle,yogaSubject,YogaChallenge,release_date,release_time,duration,viewCount,likeCount,commentCount,defaultLAudioLanguage,videoCategoryLabel
Yoga with Kassandra,E8IQG0CkKyg,How To Do Grasshopper Pose - Arm Balance Tutorial,Tutorial,FALSE,2017-11-02,18:56:51,06:54,18965,351,12,en,Howto & Style
Yoga with Kassandra,F5ycN8neM8k,15 min Beach Yoga Flow - Yoga for Balance,Vinyasa Flow Yoga,FALSE,2017-10-26,13:31:00,13:18,45579,1414,70,en,Howto & Style
Yoga with Kassandra,V0rUiNEFifw,1 Hour Chakra Yin Yoga for Emotional Healing,Yin Yoga,FALSE,2017-10-19,15:07:22,01:57,314062,6574,589,en,Howto & Style
Yoga with Kassandra,NtM4MPuMGlg,🔥 Fire Element Yoga 🔥 Core Yoga to Stoke the Fire Within,Zodiac yoga,FALSE,2017-10-12,14:21:14,39:07,171496,3287,194,en,Howto & Style
Yoga with Kassandra,eTNjOPcKgSI,"Intermediate Vinyasa Yoga for Balance, Core & Asymmetrical Poses",Intermediate Yoga,FALSE,2017-09-28,11:40:46,36:06,127725,3718,354,en,Howto & Style
Yoga with Kassandra,KjkNezZk5IM,Fall Equinox Yoga - Slow Vinyasa Flow to Honor The Seasons,Vinyasa Flow Yoga,FALSE,2017-09-19,12:51:39,37:22,93642,2947,224,en,Howto & Style
Yoga with Kassandra,rkKbB0mnkZw,15 min Hip Opening Vinyasa Yoga,Vinyasa Flow Yoga,FALSE,2017-09-14,15:02:48,13:17,126142,2367,86,en,Howto & Style
Yoga with Kassandra,F-7tTmFIvqo,90 min Yin Yoga Full Class - Deep Stretches & Long Holds,Yin Yoga,FALSE,2017-09-07,20:20:34,24:46,1193560,7594,469,en,Howto & Style
Yoga with Kassandra,RTYl7g2DHtE,10 min Neck Stretches to Reduce Pain & Stiffness,Vinyasa Flow Yoga,FALSE,2017-09-05,17:50:40,10:23,358149,8836,238,en,Howto & Style
Yoga with Kassandra,7-2GShJtR50,15 min Obliques Side Abs Workout - At Home No Equipment,Vinyasa Flow Yoga,FALSE,2017-08-31,14:43:05,15:30,49617,904,34,en,Howto & Style
